dataset,circulos,circulos,espirales,espirales,lunas,lunas
,median,std,median,std,median,std
clf,,,,,,
base,0.0,0.0,0.0,0.0,0.0,0.0
fkdc,0.493,0.122,0.868,0.364,0.764,0.655
fkn,-0.146,0.862,0.334,0.564,0.593,0.402
gnb,0.064,0.004,0.007,0.01,0.532,0.04
kdc,0.537,0.041,0.878,0.231,0.763,0.096
kn,-0.134,0.907,0.157,0.591,0.547,1.375
lr,-0.001,0.003,0.011,0.006,0.531,0.028
