clf,r2_crudo,r2_std,acc_crudo,acc_std
gbt,0.903,0.901,0.966,0.966
gnb,0.885,0.894,0.955,0.955
lr,0.689,0.899,0.91,0.978
fkn,0.457,0.848,0.708,0.955
kn,0.457,0.853,0.708,0.955
fkdc,0.429,0.876,0.685,0.955
kdc,0.4,0.835,0.652,0.966
svc,,,0.899,0.978
