clf,r2_crudo,r2_std,acc_crudo,acc_std
fkn,0.896,0.842,0.96,0.947
lr,0.891,0.888,0.96,0.947
kn,0.89,0.838,0.96,0.947
slr,0.888,0.888,0.947,0.947
fkdc,0.864,0.81,0.96,0.933
gbt,0.86,0.87,0.947,0.947
kdc,0.856,0.782,0.947,0.92
gnb,0.807,0.751,0.907,0.88
svc,,,0.947,0.947
