clf,r2_crudo,r2_std,acc_crudo,acc_std
fkn,0.002,0.002,0.525,0.522
kn,0.002,0.002,0.525,0.525
gnb,0.001,0.002,0.522,0.53
lr,0.0,0.0,0.498,0.498
fkdc,0.0,0.0,0.498,0.498
slr,0.0,0.0,0.498,0.498
kdc,0.0,0.0,0.498,0.498
gbt,-0.006,-0.007,0.535,0.53
svc,,,0.498,0.498
