clf,r2_crudo,r2_std,acc_crudo,acc_std
gbt,0.925,0.923,0.985,0.988
gnb,0.754,0.759,0.895,0.902
fkn,0.263,0.386,0.76,0.84
kdc,0.259,0.384,0.762,0.838
fkdc,0.239,0.41,0.758,0.828
kn,0.235,0.357,0.758,0.835
lr,0.207,0.202,0.675,0.678
slr,0.202,0.202,0.678,0.678
svc,,,0.79,0.828
