clf,cant,datasets
fkdc,7,"anteojos, circulos_lo, digitos, espirales_lo, helices_0, lunas_lo, pionono_0"
gbt,5,"circulos_hi, eslabones_12, lunas_hi, pionono_12, vino"
fkn,3,"hueveras_0, hueveras_12, iris"
kdc,2,"espirales_hi, mnist"
kn,2,"eslabones_0, helices_12"
slr,1,pinguinos
