clf,r2_crudo,r2_std,acc_crudo,acc_std
kdc,0.767,0.402,0.832,0.47
lr,0.756,0.607,0.828,0.75
fkdc,0.737,0.359,0.832,0.578
gbt,0.665,0.66,0.765,0.765
slr,0.607,0.607,0.75,0.75
gnb,0.577,0.479,0.682,0.685
fkn,0.547,0.096,0.718,0.125
kn,0.515,0.07,0.688,0.118
svc,,,0.87,0.795
