clf,r2_crudo,r2_std,acc_crudo,acc_std
fkdc,0.979,0.865,0.984,0.964
kdc,0.974,0.841,0.986,0.964
gbt,0.943,0.942,0.96,0.959
lr,0.933,0.931,0.961,0.96
slr,0.931,0.931,0.96,0.96
fkn,0.928,0.884,0.966,0.943
kn,0.907,0.882,0.953,0.939
gnb,0.863,0.655,0.9,0.806
svc,,,0.982,0.971
