clf,r2_crudo,r2_std,acc_crudo,acc_std
gbt,0.792,0.792,0.918,0.91
gnb,0.542,0.538,0.7,0.7
slr,0.427,0.427,0.632,0.632
lr,0.426,0.427,0.635,0.632
fkn,0.111,0.295,0.468,0.628
kn,0.108,0.285,0.47,0.622
fkdc,0.106,0.299,0.442,0.578
kdc,0.098,0.276,0.49,0.62
svc,,,0.615,0.685
